# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:31:48 2021
#
# Command line:   ./nu -e OPERA -f 4 -a PARAM_SCAN -t TH24=1.57 -p DM41,-2.0,2.0,80,LOGSCALE -p s22thmue,-4.01,-0.01,80,LOGSCALE 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   OPERA
# Including the following AEDL files:
#   opera.glb (version 3.0.0)
#
# AEDL variables:
#
# External analysis routines included:
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   TH24 = 1.57
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    80  0x1
#     s22thmue,      -4.01,      -0.01,    80  0x1
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x0
#
# General parameter scan
#
#                  DM41        s22thmue       chi2_NH          chi2_IH
                  -1.95           -2.56    0.4313198579     0.438827993
                  -1.95           -2.51    0.5015908974    0.5124719012
                  -1.95           -2.46    0.5994287971    0.6143888116
                  -1.95           -2.41    0.7305957807    0.7504399488
                  -1.95           -2.36    0.9016522259    0.9272897463
                  -1.95           -2.31     1.119991758     1.152438584
                  -1.95           -2.26     1.393855509     1.434233682
                  -1.95           -2.21     1.732317141     1.781849524
                  -1.95           -2.16     2.145228428     2.205227377
                  -1.95           -2.11     2.643113327     2.714961576
                  -1.95           -2.06     3.236996561     3.322118386
                  -1.95           -2.01     3.938151067     4.037971609
                  -1.95           -1.96     4.757747585     4.873638163
                  -1.95           -1.91     5.706389699     5.839597111
                  -1.95           -1.86     6.793519894      6.94507823
                  -1.95           -1.81     8.026687892     8.197312567
                  -1.95           -1.76     9.410684032     9.600649816
                  -1.95           -1.71     10.94656027     11.15556854
                  -1.95           -1.66     12.63059286     12.85763847
                  -1.95           -1.61     14.45328632     14.69654142
                  -1.95           -1.56     16.39857669     16.65531715
                  -1.95           -1.51     18.44345493     18.71006222
                  -1.95           -1.46     20.55827292     20.83034566
                  -1.95           -1.41      22.7079723     22.98057086
                  -1.95           -1.36     24.85433659     25.12235449
                  -1.95           -1.31     26.95908748     27.21769831
                  -1.95           -1.26      28.9872959     29.23238281
                  -1.95           -1.21     30.91034185     31.13880653
                  -1.95           -1.16     32.70772781     32.91761326
                  -1.95           -1.11     34.36744726     34.55787559
                  -1.95           -1.06     35.88510776     36.05609082
                  -1.95           -1.01     37.26232443     37.41452327
                  -1.95           -0.96     38.50492475     38.63941901
                  -1.95           -0.91     39.62133797     39.73943756
