# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Fri Nov 19 14:38:10 2021
#
# Command line:   ./nu -e MUBOONE -f 4 -a PARAM_SCAN --no-ih --bf-spectrum -p DM41,-2.,2.,40,LOGSCALE -p s22thmue,-4.,0.,40,LOGSCALE -p Um4,0.025,0.775,15 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using SNU probability engine.
# Using 4 flavor model
# Simulating the following experiments:
#   MUBOONE
# Including the following AEDL files:
#
# AEDL variables:
#
# External analysis routines included:
#   microBooNE
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,         -2,          2,    40  0x1
#     s22thmue,         -4,          0,    40  0x1
#          Um4,      0.025,      0.775,    15  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing microBooNE code ...
# Flags in MicroBooNE code: OSC_NO_NUBAR OSC_NO_NUMU 
# General parameter scan
#
#                  DM41        s22thmue             Um4       chi2_NH          chi2_IH
                     -2            -3.4           0.325     25.00331039           1e+50
                     -2            -3.4           0.375     25.00329923           1e+50
                     -2            -3.4           0.425     25.00328644           1e+50
                     -2            -3.4           0.475     25.00327201           1e+50
                     -2            -3.4           0.525     25.00325595           1e+50
                     -2            -3.4           0.575     25.00323826           1e+50
                     -2            -3.4           0.625     25.00321893           1e+50
                     -2            -3.4           0.675     25.00319795           1e+50
                     -2            -3.4           0.725     25.00317531           1e+50
                     -2            -3.4           0.775     25.00315097           1e+50
                     -2            -3.3           0.025     25.00329295           1e+50
                     -2            -3.3           0.075     25.00334872           1e+50
                     -2            -3.3           0.125     25.00335009           1e+50
                     -2            -3.3           0.175     25.00334653           1e+50
                     -2            -3.3           0.225     25.00334062           1e+50
                     -2            -3.3           0.275     25.00333284           1e+50
                     -2            -3.3           0.325     25.00332333           1e+50
                     -2            -3.3           0.375     25.00331216           1e+50
                     -2            -3.3           0.425     25.00329933           1e+50
                     -2            -3.3           0.475     25.00328486           1e+50
                     -2            -3.3           0.525     25.00326875           1e+50
                     -2            -3.3           0.575       25.003251           1e+50
                     -2            -3.3           0.625     25.00323159           1e+50
                     -2            -3.3           0.675     25.00321053           1e+50
                     -2            -3.3           0.725     25.00318778           1e+50
                     -2            -3.3           0.775     25.00316332           1e+50
                     -2            -3.2           0.025     25.00329214           1e+50
                     -2            -3.2           0.075     25.00336308           1e+50
                     -2            -3.2           0.125     25.00336565           1e+50
                     -2            -3.2           0.175      25.0033624           1e+50
                     -2            -3.2           0.225      25.0033566           1e+50
                     -2            -3.2           0.275     25.00334886           1e+50
                     -2            -3.2           0.325     25.00333936           1e+50
                     -2            -3.2           0.375     25.00332817           1e+50
                     -2            -3.2           0.425     25.00331531           1e+50
                     -2            -3.2           0.475     25.00330079           1e+50
                     -2            -3.2           0.525     25.00328462           1e+50
                     -2            -3.2           0.575      25.0032668           1e+50
